mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	Trill:trill
86	86	769/6	769/6	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	808							
86	86	385/3	385/3	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	809							
86	86	257/2	257/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	810							
86	86	386/3	386/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	811							
86	86	773/6	773/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	812							
87	87	129	129	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	813							
87	87	519/4	519/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	814							
87	87	130	130	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	815							
87	87	129	129	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	816							
87	87	775/6	775/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	817							
87	87	388/3	388/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	818							
87	87	259/2	259/2	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	819							
87	87	389/3	389/3	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	820							
87	87	779/6	779/6	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	821							
87	87	130	130	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	822							
87	87	781/6	781/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	823							
87	87	391/3	391/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	824							
88	88	261/2	261/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	825							
88	88	131	131	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	826							
88	88	263/2	263/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	827							
88	88	261/2	261/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	828							
88	88	392/3	392/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	829							
88	88	785/6	785/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	830							
88	88	131	131	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	831							
88	88	787/6	787/6	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	832							
88	88	394/3	394/3	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	833							
88	88	263/2	263/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	834							
88	88	395/3	395/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	835							
88	88	791/6	791/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	836							
89	89	132	132	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	837							
89	89	531/4	531/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	838							
89	89	133	133	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	839							
89	89	132	132	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	840							
89	89	793/6	793/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	841							
89	89	397/3	397/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	842							
89	89	265/2	265/2	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	843							
89	89	398/3	398/3	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	844							
89	89	797/6	797/6	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	845							
89	89	133	133	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	846							
89	89	799/6	799/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	847							
89	89	400/3	400/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	848							
90	90	267/2	267/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	849							
90	90	401/3	401/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	850							
90	90	803/6	803/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	851							
90	90	134	134	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	852							
90	90	805/6	805/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	853							
90	90	403/3	403/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	854							
90	90	269/2	269/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	855							
90	90	404/3	404/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	856							
90	90	809/6	809/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	857							
90	90	267/2	267/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	858							
90	90	134	134	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	859							
90	90	269/2	269/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	860							
91	91	135	135	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	861							
91	91	811/6	811/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	862							
91	91	406/3	406/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	863							
91	91	271/2	271/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	864							
91	91	407/3	407/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	865							
91	91	815/6	815/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	866							
91	91	136	136	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	867							
91	91	817/6	817/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	868							
91	91	409/3	409/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	869							
91	91	135	135	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	870							
91	91	271/2	271/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	871							
91	91	136	136	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	872							
92	92	273/2	273/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	873							
92	92	410/3	410/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	874							
92	92	821/6	821/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	875							
92	92	137	137	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	876							
92	92	823/6	823/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	877							
92	92	412/3	412/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	878							
92	92	275/2	275/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	879							
92	92	413/3	413/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	880							
92	92	827/6	827/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	881							
92	92	273/2	273/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	882							
92	92	275/2	275/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	883							
93	93	138	138	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	884							
93	93	138	138	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	885							
93	93	829/6	829/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	886							
93	93	415/3	415/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	887							
93	93	277/2	277/2	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	888							
93	93	416/3	416/3	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	889							
93	93	833/6	833/6	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	890							
93	93	139	139	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	891							
93	93	835/6	835/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	892							
93	93	418/3	418/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	893							
94	94	279/2	279/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	894							
94	94	279/2	279/2	0.16666666666666666	0	0	Chord	3/8	1	2	1/24		1/16	2/3	895							
94	94	419/3	419/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	2	1/24		1/16	2/3	896							
94	94	839/6	839/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	2	1/24		1/16	2/3	897							
94	94	140	140	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	898							
94	94	281/2	281/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	899							
94	94	279/2	279/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	900							
94	94	140	140	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	901							
94	94	281/2	281/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	902							
95	95	141	141	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	903							
95	95	141	141	0.16666666666666666	0	0	Chord	3/8	1	2	1/24		1/16	2/3	904							
95	95	847/6	847/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	2	1/24		1/16	2/3	905							
95	95	424/3	424/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	2	1/24		1/16	2/3	906							
95	95	283/2	283/2	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	907							
95	95	142	142	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	908							
95	95	141	141	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	909							
95	95	847/6	847/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	910							
95	95	424/3	424/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	911							
95	95	283/2	283/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	912							
95	95	142	142	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	913							
96	96	285/2	285/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	914							
96	96	143	143	1.0	1/8	1/8	Chord	3/8	1	1	1/4		1/4	1	915							
96	96	285/2	285/2	1.0	0	0	Chord	3/8	1	2	1/4		1/4	1	916							
96	96	287/2	287/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	917							
96	96	285/2	285/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	918							
96	96	143	143	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	919							
96	96	287/2	287/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	920							
97	97	144	144	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	921							
97	97	577/4	577/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	922							
97	97	289/2	289/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	923							
97	97	579/4	579/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	924							
97	97	145	145	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	925							
97	97	581/4	581/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	926							
97	97	144	144	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	927							
98	98	291/2	291/2	0.0	0	0	Chord	3/8	1	1	0	appoggiatura	1/8	1	928							
98	98	291/2	291/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	929							
98	98	146	146	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	930							
98	98	293/2	293/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	931							
98	98	146	146	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	932							
98	98	293/2	293/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	933							
99	99	147	147	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	934							
99	99	589/4	589/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	935							
99	99	295/2	295/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	936							
99	99	591/4	591/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	937							
99	99	148	148	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	938							
99	99	593/4	593/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	939							
99	99	147	147	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	940							
99	99	295/2	295/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	941							
99	99	148	148	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	942							
100	100	297/2	297/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	943							
100	100	595/4	595/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	944							
100	100	149	149	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	945							
100	100	299/2	299/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	946	ornamentTrill						
100	100	297/2	297/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	947							
100	100	149	149	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	948							
100	100	299/2	299/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	949							
101	101	150	150	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	950							
101	101	301/2	301/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	951							
101	101	151	151	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	952							
101	101	150	150	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	953							
101	101	901/6	901/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	954							
101	101	451/3	451/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	955							
101	101	301/2	301/2	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	956							
101	101	452/3	452/3	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	957							
101	101	905/6	905/6	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	958							
101	101	151	151	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	959							
101	101	907/6	907/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	960							
101	101	454/3	454/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	961							
102	102	303/2	303/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	962							
102	102	152	152	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	963							
102	102	305/2	305/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	964							
102	102	303/2	303/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	965							
102	102	455/3	455/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	966							
102	102	911/6	911/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	967							
102	102	152	152	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	968							
102	102	913/6	913/6	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	969							
102	102	457/3	457/3	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	970							
102	102	305/2	305/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	971							
102	102	458/3	458/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	972							
102	102	917/6	917/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	973							
103	103	153	153	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	974							
103	103	307/2	307/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	975							
103	103	154	154	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	976							
103	103	153	153	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	977							
103	103	919/6	919/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	978							
103	103	460/3	460/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	979							
103	103	307/2	307/2	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	980							
103	103	461/3	461/3	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	981							
103	103	923/6	923/6	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	982							
103	103	154	154	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	983							
103	103	925/6	925/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	984							
103	103	463/3	463/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	985							
104	104	309/2	309/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	986							
104	104	464/3	464/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	987							
104	104	929/6	929/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	988							
104	104	155	155	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	989							
104	104	931/6	931/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	990							
104	104	466/3	466/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	991							
104	104	311/2	311/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	992							
104	104	467/3	467/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	993							
104	104	935/6	935/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	994							
104	104	309/2	309/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	995							
104	104	311/2	311/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	996							
105	105	156	156	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	997							
105	105	937/6	937/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	998							
105	105	469/3	469/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	999							
105	105	313/2	313/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	1000							
105	105	157	157	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	1001							
105	105	156	156	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	1002							
105	105	313/2	313/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	1003							
105	105	157	157	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	1004							
106	106	315/2	315/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	1005							
106	106	158	158	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	1006							
106	106	317/2	317/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	1007							
106	106	315/2	315/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	1008							
106	106	473/3	473/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	1009							
106	106	947/6	947/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	1010							
106	106	158	158	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	1011							
106	106	949/6	949/6	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	1012							
106	106	475/3	475/3	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	1013							
106	106	317/2	317/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	1014							
106	106	476/3	476/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	1015							
106	106	953/6	953/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	1016							
107	107	159	159	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	1017							
107	107	319/2	319/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	1018							
107	107	160	160	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	1019							
107	107	159	159	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	1020							
107	107	955/6	955/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	1021							
107	107	478/3	478/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	1022							
107	107	319/2	319/2	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	1023							
107	107	479/3	479/3	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	1024							
107	107	959/6	959/6	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	1025							
107	107	160	160	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	1026							
107	107	961/6	961/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	1027							
107	107	481/3	481/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	1028							
108	108	321/2	321/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	1029							
108	108	161	161	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	1030							
108	108	323/2	323/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	1031							
108	108	321/2	321/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	1032							
108	108	482/3	482/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	1033							
108	108	965/6	965/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	1034							
108	108	161	161	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	1035							
108	108	967/6	967/6	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	1036							
108	108	484/3	484/3	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	1037							
108	108	323/2	323/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	1038							
108	108	485/3	485/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	1039							
108	108	971/6	971/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	1040							
109	109	162	162	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	1041							
109	109	973/6	973/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	1042							
109	109	487/3	487/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	1043							
109	109	325/2	325/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	1044							
109	109	488/3	488/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	1045							
109	109	977/6	977/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	1046							
109	109	163	163	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	1047							
109	109	979/6	979/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	1048							
109	109	490/3	490/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	1049							
109	109	162	162	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	1050							
109	109	163	163	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	1051							
110	110	327/2	327/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	1052							
110	110	491/3	491/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	1053							
110	110	983/6	983/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	1054							
110	110	164	164	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	1055							
110	110	329/2	329/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	1056	ornamentTrill						
110	110	327/2	327/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	1057							
110	110	164	164	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	1058							
110	110	329/2	329/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	1059							
111	111	165	165	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	1060							
111	111	165	165	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	1061							
